Name,Description,BaseDir,Round,Epoch,OverrideA,OverrideB,OverrideC,OverrideD,OverrideE
FedAvg_Baseline,Aggregate every epoch,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260225_144902,20,20,,,,,
FedAvg_2,Different luck,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260226_114653,20,20,,,,,
FedNorm,BN and LN localized,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/FedNorm,20,20,,,,,
FedDynBN,Dyn and BN,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260302_132331,20,20,,,,,
FedBN,BN only,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260226_173100,20,20,,,,,
FedDyn,Dynamic regul loss,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260227_032741,20,20,,,,,
NoComm,Training only on own domain,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260227_185206,20,20,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260227_185206/ModelA/epoch_20.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260227_185206/ModelB/epoch_20.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260301_142404/ModelC/epoch_20.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260302_130200/ModelD/epoch_20.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260302_130200/ModelE/epoch_20.pth
FedAvg_5local,Fedavg with 5 local epochs,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/run_20260302_124708,8,40,,,,,
Centr_baseline_e8,Centralized baseline performance on domains epoch 8 so same total steps as fed setups,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/centralized_baseline/epoch_8.pth,20,20,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/centralized_baseline/epoch_8.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/centralized_baseline/epoch_8.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/centralized_baseline/epoch_8.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/centralized_baseline/epoch_8.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_fedavg_all/centralized_baseline/epoch_8.pth
Centr_baseline_e40,Centralized baseline performance on domains epoch 40 so more total steps than fed setups,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/centralized_model/epoch_40.pth,20,20,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/centralized_model/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/centralized_model/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/centralized_model/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/centralized_model/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/centralized_model/epoch_40.pth
NoComm40epoch,Training only on own domain (40 epochs),/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/NoComm_40Epochs,40,40,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/NoComm_40Epochs/ModelA/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/NoComm_40Epochs/ModelB/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/NoComm_40Epochs/ModelC/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/NoComm_40Epochs/ModelD/epoch_40.pth,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/NoComm_40Epochs/ModelE/epoch_40.pth
FS_cka_dyn05_40epochs,FS cka dyn05 run (40 epochs),/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/FS_cka_dyn05_40epochs,40,40,,,,,
PCGrad,PCgrad,/home/nfs/jtverhoog/mmdet/MscThesisjverhoog/projects/cmt_40_epoch/PCGrad,40,40,,,,,
